SN,NAME,WINE,YR,REG,TP,RT,NUMR,PR,BD,ACD, RSG , AL , DN 
W4621-55462,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6409 , 10.6717 , 0.9970 
W8372-33585,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6404 , 11.1204 , 0.9964 
W1097-21319,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6399 , 11.5332 , 0.9961 
W8013-59823,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6398 , 10.7004 , 0.9968 
W9000-51788,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6397 , 10.9220 , 0.9963 
W4303-18671,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6396 , 11.9114 , 0.9957 
W7495-34579,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6389 , 10.7726 , 0.9972 
W1007-31751,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6379 , 11.4869 , 0.9954 
W9325-29044,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6372 , 10.7534 , 0.9971 
W5688-46931,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6370 , 10.8376 , 0.9969 
W1121-78743,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6361 , 11.0944 , 0.9972 
W8472-30189,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.6350 , 10.9962 , 0.9971 
W9822-32438,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6342 , 11.2997 , 0.9962 
W4033-80705,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6341 , 10.8942 , 0.9969 
W7136-30307,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6333 , 9.5227 , 0.9981 
W3503-16018,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6332 , 10.0374 , 0.9964 
W5754-91022,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.6329 , 10.5782 , 0.9971 
W9864-83804,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6327 , 11.2168 , 0.9953 
W3251-89620,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6323 , 10.4439 , 0.9966 
W8213-32607,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6319 , 11.3461 , 0.9968 
W2143-18239,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6319 , 10.9534 , 0.9956 
W5710-43406,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.6273 , 11.0356 , 0.9964 
W1523-13646,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.6264 , 10.9736 , 0.9966 
W1604-40077,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6257 , 10.9889 , 0.9969 
W6185-72720,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6243 , 11.0849 , 0.9958 
W9838-80058,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6225 , 11.0069 , 0.9971 
W1264-91248,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6198 , 11.6734 , 0.9958 
W7421-51229,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6192 , 11.5325 , 0.9956 
W6549-30454,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.6192 , 11.5915 , 0.9960 
W9914-30824,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6191 , 11.3129 , 0.9965 
W6452-11800,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6176 , 10.6787 , 0.9964 
W9927-48682,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6167 , 10.9765 , 0.9965 
W2842-56596,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6166 , 11.4409 , 0.9962 
W5712-81392,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6165 , 11.2662 , 0.9954 
W6456-86956,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6163 , 11.1330 , 0.9959 
W1423-19779,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6159 , 10.8415 , 0.9972 
W6262-51164,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.6145 , 11.0432 , 0.9968 
W1635-81745,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6143 , 10.8568 , 0.9957 
W1455-94516,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6136 , 10.3309 , 0.9971 
W6739-95852,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6128 , 10.6711 , 0.9967 
W3485-31055,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6124 , 11.4253 , 0.9954 
W5488-12946,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6102 , 10.5492 , 0.9972 
W8426-92551,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6101 , 10.6289 , 0.9963 
W3417-51092,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6098 , 11.0326 , 0.9969 
W8101-24714,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6090 , 11.1392 , 0.9959 
W6265-82207,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6061 , 12.5335 , 0.9952 
W7014-46305,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6058 , 10.5543 , 0.9966 
W6445-69862,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6050 , 10.7043 , 0.9969 
W9522-93412,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6038 , 10.9949 , 0.9964 
W9604-71916,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6029 , 11.4653 , 0.9957 
W8292-20596,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6013 , 10.7130 , 0.9970 
W3767-27337,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.6005 , 11.6034 , 0.9961 
W7735-12257,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5996 , 10.4113 , 0.9971 
W9490-45221,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5988 , 13.0316 , 0.9931 
W3868-45785,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5975 , 11.4260 , 0.9965 
W2762-69110,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5970 , 10.8058 , 0.9976 
W2539-62145,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5959 , 10.2751 , 0.9968 
W8121-42050,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5957 , 11.7738 , 0.9964 
W6780-39255,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5944 , 11.0886 , 0.9960 
W2094-83062,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5944 , 10.7887 , 0.9965 
W9760-18897,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5943 , 11.2214 , 0.9962 
W7641-86630,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5942 , 11.5558 , 0.9964 
W8137-25204,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5942 , 11.9268 , 0.9955 
W2974-82739,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,NA,NA, 10.5939 , 11.1141 , 0.9964 
W1663-29666,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5928 , 11.0641 , 0.9958 
W8694-26953,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5925 , 11.2514 , 0.9961 
W4409-84730,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5922 , 11.7654 , 0.9959 
W3156-96314,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5912 , 11.0066 , 0.9959 
W9038-44399,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5904 , 10.9068 , 0.9968 
W6926-39758,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5903 , 9.9620 , 0.9969 
W6642-52234,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5890 , 11.1197 , 0.9963 
W5190-87920,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5886 , 11.2255 , 0.9966 
W5600-68095,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5885 , 10.7052 , 0.9967 
W1994-94688,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5874 , 11.3774 , 0.9957 
W9996-78063,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5872 , 11.4805 , 0.9956 
W3453-69429,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5854 , 10.8429 , 0.9962 
W6207-61158,Losada,Altos de Losada,2018,Bierzo,Mencia,4.01,415,17.9,3,3, 10.5854 , 10.9045 , 0.9968 
W4758-29396,Losada,Altos de Losada,2019,Bierzo,Mencia,4.01,97,18.35,3,3, 10.5823 , 11.5589 , 0.9960 
W6911-51869,Losada,Altos de Losada El Cepon,2017,Bierzo,Mencia,4.17,132,35.9,3,3, 9.1221 , 11.4019 , 0.9963 
W4829-36855,Losada,La Bienquerida,2015,Bierzo,Mencia,4.18,100,36.91,3,3, 9.1101 , 10.6681 , 0.9956 
W5745-91575,Losada,La Bienquerida,2017,Bierzo,Mencia,4.18,213,37.35,3,3, 9.1032 , 11.0114 , 0.9973 
W1330-73087,Losada,La Bienquerida,2018,Bierzo,Mencia,4.16,66,34.55,3,3, 9.1465 , 11.1983 , 0.9961 
W4368-34103,Losada,La Bienquerida,2019,Bierzo,Mencia,4.14,41,32.9,3,3, 9.1795 , 11.5001 , 0.9970 
W2312-87941,Loxera,El Cordero y las Virgenes,2016,Valencia,Red,4.06,60,24,4,3, 9.8672 , 11.3478 , 0.9966 
W5171-78521,Luis A. Rodriguez Vazquez,A Torna dos Pasas Escolma Ribeiro,2016,Ribeiro,Red,4.21,37,40.75,4,3, 8.9490 , 12.1407 , 0.9943 
W9973-21607,Luis A. Rodriguez Vazquez,Vina de Martin Escolma Ribeiro,2016,Ribeiro,NA,4.18,85,37.65,NA,NA, 9.0970 , 9.7902 , 0.9975 
W2136-85003,Luis Canas,Hiru 3 Rioja Racimos,2005,Rioja,Rioja Red,4.37,91,118,4,3, 7.2596 , 12.0461 , 0.9957 
W5011-30147,Luis Canas,Reserva Seleccion de la Familia,2014,Rioja,Rioja Red,4,1022,17.07,4,3, 10.9353 , 10.2548 , 0.9973 
W5314-12132,Luis Canas,Reserva Seleccion de la Familia,2016,Rioja,Rioja Red,4.01,1282,18.5,4,3, 10.5793 , 11.2548 , 0.9957 
W8351-18533,Luis Canas,Rioja Gran Reserva,2016,Rioja,Rioja Red,4.03,45,21.01,4,3, 10.1511 , 11.5508 , 0.9951 
W3184-76240,Lustau,Candela Cream Dulce Sweet,2018,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.8595 , 10.7541 , 0.9976 
W5453-10604,Lustau,Candela Cream Dulce Sweet,2019,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 13.9373 , 10.9100 , 0.9976 
W6951-49090,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.9195 , 11.6014 , 0.9953 
W2286-58846,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.9189 , 11.5503 , 0.9964 
W7441-11319,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.9171 , 11.1807 , 0.9965 
W6555-33014,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.8947 , 10.7807 , 0.9971 
W2895-50017,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.8181 , 10.9817 , 0.9965 
W4342-39419,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.7777 , 11.1474 , 0.9956 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.7309 , 10.8728 , 0.9969 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.7044 , 11.0543 , 0.9961 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.6473 , 10.5256 , 0.9966 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.6273 , 10.3012 , 0.9971 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.6234 , 10.5123 , 0.9970 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.6234 , 10.9223 , 0.9964 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.6220 , 11.4566 , 0.9957 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.6212 , 11.5899 , 0.9951 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.5769 , 10.9154 , 0.9967 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.5767 , 11.5855 , 0.9954 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.5481 , 10.5495 , 0.9978 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4753 , 11.5792 , 0.9956 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4632 , 10.9840 , 0.9970 
W7055-19564,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4493 , 10.9792 , 0.9962 
W6817-74477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4460 , 11.1249 , 0.9960 
W4250-15502,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4359 , 12.6776 , 0.9951 
W9897-57069,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4198 , 10.9265 , 0.9965 
W7034-94347,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.4171 , 10.7560 , 0.9961 
W6769-80598,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.3988 , 10.6415 , 0.9977 
W9995-54493,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.3899 , 10.1443 , 0.9981 
W7618-46231,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.3789 , 10.4941 , 0.9977 
W4910-66724,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.3685 , 10.7319 , 0.9971 
W5489-85802,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.3168 , 11.2392 , 0.9961 
W5044-46378,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2989 , 11.5430 , 0.9960 
W9442-33026,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2855 , 11.3589 , 0.9959 
W3197-37609,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2850 , 11.1337 , 0.9969 
W9830-33217,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2842 , 11.0719 , 0.9963 
W1204-92726,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 13.2796 , 11.0931 , 0.9964 
W9680-46744,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2736 , 11.4495 , 0.9955 
W1613-43600,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2652 , 11.0314 , 0.9962 
W6453-67139,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2114 , 11.4502 , 0.9956 
W6175-44155,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.2071 , 9.6157 , 0.9976 
W6211-31759,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1954 , 10.7694 , 0.9962 
W1697-29003,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1811 , 11.1210 , 0.9960 
W9823-29712,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1759 , 11.5465 , 0.9961 
W7621-72534,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1690 , 11.0409 , 0.9966 
W5963-27930,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1673 , 11.3465 , 0.9956 
W8100-41895,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1596 , 10.7799 , 0.9957 
W7858-84519,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1419 , 11.4972 , 0.9954 
W6377-89777,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 13.1402 , 10.6539 , 0.9969 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1375 , 11.3146 , 0.9966 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1247 , 10.6297 , 0.9975 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.1209 , 11.0735 , 0.9961 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0998 , 11.2109 , 0.9961 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0925 , 11.1429 , 0.9959 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 13.0890 , 11.0660 , 0.9964 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0729 , 11.4563 , 0.9955 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0579 , 10.4394 , 0.9961 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0545 , 11.4295 , 0.9956 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0352 , 11.1610 , 0.9968 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0253 , 10.6159 , 0.9966 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0228 , 10.5071 , 0.9964 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 13.0093 , 11.8467 , 0.9945 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9992 , 10.8542 , 0.9967 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9870 , 11.1510 , 0.9968 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9761 , 10.6113 , 0.9971 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 12.9746 , 11.4594 , 0.9958 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9699 , 11.0013 , 0.9965 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9376 , 10.7294 , 0.9969 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 12.9352 , 11.1453 , 0.9973 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9346 , 11.1941 , 0.9954 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9235 , 10.1854 , 0.9972 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.9084 , 11.5281 , 0.9957 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8937 , 11.5664 , 0.9960 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8850 , 10.6195 , 0.9971 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8800 , 10.8751 , 0.9962 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8785 , 10.4427 , 0.9961 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,NA,NA, 12.8735 , 11.1801 , 0.9957 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8695 , 11.1144 , 0.9963 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8653 , 10.5109 , 0.9980 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8524 , 10.9612 , 0.9969 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8519 , 11.0242 , 0.9954 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8439 , 11.1370 , 0.9963 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8339 , 10.8970 , 0.9968 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8318 , 11.0139 , 0.9960 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8263 , 11.5364 , 0.9956 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8144 , 10.8450 , 0.9981 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8115 , 11.3014 , 0.9962 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8109 , 10.9888 , 0.9965 
W4600-65477,Lustau,Candela Cream Dulce Sweet,N.V.,Jerez-Xeres-Sherry,Sherry,3.93,405,7.1,4,3, 12.8105 , 10.9189 , 0.9968 
